Door Schedule,,,,,,,,,,,,,,,
Door,,,,,,,Frame,,,,,,Fire Rating Label,Hardware,,Comments
Mark,Size,,,Material,Finish,Under Cut,Material,Type,Finish,Head,Jamb,Sill,,Set No.,From Room: Number,
,Width,Height,Thickness,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
P05,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,60 MIN,A1,P01,
R100A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,,B2,,
R100B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
R100C,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
R100D,6' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,,C3,,
R100E,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,,B2,,
R103A,6' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,,C3,R100,
R103B,6' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,,C3,R100,
S10,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,P01,
S11A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
S11B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,90 MIN,A2,,
S13,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,301,
S14,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,401,
S15,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,501,
S16,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,,B2,R100,
S20,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,P01,
S22A,3' - 0",8' - 0",,ALUM,ANOD,--,ALUM,,ANOD,,,,,D2,,
S22B,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,,
S23,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,,
S24,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,,
S25,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,,
S26,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,,B2,R100,
S30,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,P01,
S31A,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,NR,A1,,
S31B,3' - 0",7' - 2",,ALUM,ANOD,--,ALUM,,ANOD,,,,,D2,,
S32,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,201,
S33,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,302,
S34,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,402,
S35,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,180 MIN,A3,502,
S36,3' - 0",7' - 0",0' - 1 3/4",STL,PNT,--,HM,,PNT,,,,,B2,R100,
